State,District,Market,Commodity,Variety,Arrival_Date,Modal_x0020_Price
Madhya Pradesh,Khargone,Khargone,Maize,Local,2025-06-11,1200.0
Madhya Pradesh,Khargone,Sanawad,Maize,Local,2025-06-11,2400.0
Madhya Pradesh,Khargone,Segaon,Maize,Local,2025-06-11,1950.0
Madhya Pradesh,Mandla,Nainpur,Maize,Yellow,2025-06-11,1775.0
Madhya Pradesh,Mandsaur,Shamgarh,Maize,Local,2025-06-11,1550.0
Madhya Pradesh,Morena,Morena,Tomato,Tomato,2025-06-11,1500.0
Madhya Pradesh,Narsinghpur,Narsinghpur,Maize,Yellow,2025-06-11,1715.0
Madhya Pradesh,Sagar,Sagar,Maize,Local,2025-06-11,1880.0
Madhya Pradesh,Sehore,Ichhawar,Maize,Local,2025-06-11,1325.0
Madhya Pradesh,Seoni,Chhpara,Maize,Local,2025-06-11,1850.0
Madhya Pradesh,Seoni,Keolari,Maize,Yellow,2025-06-11,1750.0
Madhya Pradesh,Seoni,Palari,Maize,Maize/Corn-Organic,2025-06-11,1805.0
Madhya Pradesh,Seoni,Seoni,Maize,Local,2025-06-11,1751.0
Madhya Pradesh,Shivpuri,Karera,Groundnut,Big (With Shell),2025-06-11,4500.0
Madhya Pradesh,Ujjain,Badnagar,Onion,Onion,2025-06-11,700.0
Maharashtra,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,2025-06-11,1230.0
Maharashtra,Nagpur,Kalmeshwar,Tomato,Other,2025-06-11,1815.0
Maharashtra,Pune,Khed(Chakan),Onion,Other,2025-06-11,1200.0
Maharashtra,Pune,Khed(Chakan),Tomato,Other,2025-06-11,1700.0
Maharashtra,Pune,Pune(Moshi),Banana,Other,2025-06-11,4250.0
Maharashtra,Pune,Pune(Moshi),Onion,Local,2025-06-11,950.0
Maharashtra,Pune,Pune(Moshi),Tomato,Local,2025-06-11,900.0
Maharashtra,Pune,Pune(Pimpri),Onion,Local,2025-06-11,1250.0
Maharashtra,Pune,Pune(Pimpri),Tomato,Local,2025-06-11,1250.0
Maharashtra,Ratnagiri,Ratnagiri (Nachane),Tomato,Other,2025-06-11,1200.0
Nagaland,Kohima,Kohima,Tomato,Tomato,2025-06-11,6100.0
Odisha,Boudh,Boudh,Onion,Other,2025-06-11,2150.0
Odisha,Gajapati,Parlakhemundi,Banana,Other,2025-06-11,1900.0
Odisha,Kalahandi,Junagarh,Tomato,Other,2025-06-11,3000.0
Odisha,Kalahandi,Kalahandi(Dharamagarh),Tomato,Other,2025-06-11,3000.0
Punjab,Amritsar,Rayya,Onion,Red,2025-06-11,2100.0
Punjab,Amritsar,Rayya,Tomato,Hybrid,2025-06-11,3200.0
Punjab,Bhatinda,Rampuraphul(Nabha Mandi),Onion,Other,2025-06-11,1500.0
Punjab,Bhatinda,Rampuraphul(Nabha Mandi),Tomato,Other,2025-06-11,1500.0
Punjab,Bhatinda,Talwandi Sabo,Banana,Other,2025-06-11,2800.0
Punjab,Bhatinda,Talwandi Sabo,Onion,Other,2025-06-11,1200.0
Punjab,Bhatinda,Talwandi Sabo,Tomato,Other,2025-06-11,1800.0
Punjab,Fatehgarh,Khamano,Tomato,Tomato,2025-06-11,4600.0
Punjab,Fazilka,Jalalabad,Banana,Other,2025-06-11,2450.0
Punjab,Fazilka,Jalalabad,Onion,Other,2025-06-11,1900.0
Punjab,Fazilka,Jalalabad,Tomato,Other,2025-06-11,1550.0
Punjab,Ludhiana,Doraha,Tomato,Other,2025-06-11,2350.0
Punjab,Ludhiana,Ludhiana,Onion,Other,2025-06-11,1100.0
Punjab,Ludhiana,Ludhiana,Tomato,Other,2025-06-11,2000.0
Punjab,Mansa,Mansa,Banana,Banana - Ripe,2025-06-11,1800.0
Punjab,Mansa,Mansa,Onion,Nasik,2025-06-11,1500.0
Punjab,Mansa,Mansa,Tomato,Tomato,2025-06-11,2200.0
Punjab,Mohali,Dera Bassi,Onion,Other,2025-06-11,1800.0
Punjab,Mohali,Dera Bassi,Tomato,Other,2025-06-11,2200.0
Punjab,Patiala,Ghanaur,Onion,Other,2025-06-11,1600.0
Punjab,Patiala,Ghanaur,Tomato,Other,2025-06-11,2750.0
Punjab,Tarntaran,Patti,Banana,Other,2025-06-11,2000.0
Punjab,Tarntaran,Patti,Onion,Other,2025-06-11,2000.0
Punjab,Tarntaran,Patti,Tomato,Other,2025-06-11,2800.0
Punjab,Tarntaran,Tarantaran,Onion,Other,2025-06-11,1500.0
Punjab,Tarntaran,Tarantaran,Tomato,Other,2025-06-11,2400.0
Rajasthan,Beawar,Beawar,Maize,Other,2025-06-11,2750.0
Rajasthan,Bhilwara,Gulabpura,Maize,Other,2025-06-11,1825.0
Rajasthan,Churu,Churu,Onion,1st Sort,2025-06-11,1400.0
Rajasthan,Churu,Churu,Tomato,Hybrid,2025-06-11,2100.0
Rajasthan,Ganganagar,Sriganganagar (F&V),Banana,Other,2025-06-11,2500.0
Rajasthan,Ganganagar,Sriganganagar (F&V),Onion,Other,2025-06-11,1400.0
Rajasthan,Ganganagar,Sriganganagar (F&V),Tomato,Other,2025-06-11,1800.0
Rajasthan,Ganganagar,Suratgarh,Onion,1st Sort,2025-06-11,900.0
Rajasthan,Ganganagar,Suratgarh,Tomato,Deshi,2025-06-11,2500.0
Rajasthan,Hanumangarh,Rawatsar,Onion,1st Sort,2025-06-11,1400.0
Rajasthan,Hanumangarh,Rawatsar,Tomato,Deshi,2025-06-11,1500.0
Rajasthan,Hanumangarh,Sangriya,Onion,Onion,2025-06-11,1900.0
Rajasthan,Jalore,Jalore,Tomato,Other,2025-06-11,1300.0
Rajasthan,Rajsamand,Rajsamand,Onion,Onion,2025-06-11,1400.0
Rajasthan,Rajsamand,Rajsamand,Tomato,Tomato,2025-06-11,1600.0
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Banana,Besrai,2025-06-11,5600.0
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Coconut,Coconut,2025-06-11,6000.0
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Onion,Bellary,2025-06-11,3200.0
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Tomato,Deshi,2025-06-11,3800.0
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Banana,Besrai,2025-06-11,4800.0
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,5000.0
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Onion,Bellary,2025-06-11,3000.0
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,4000.0
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,4000.0
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,4000.0
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,4000.0
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,2000.0
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,3500.0
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,8000.0
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Groundnut,Big (With Shell),2025-06-11,8000.0
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,3000.0
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,3500.0
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,6000.0
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Groundnut,Big (With Shell),2025-06-11,6000.0
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,4500.0
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,3000.0
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,7000.0
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,2500.0
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,3500.0
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,6500.0
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Onion,Bellary,2025-06-11,3500.0
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Tomato,Deshi,2025-06-11,3500.0
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Coconut,Coconut,2025-06-11,8000.0
